# version=2017
provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |  astCat|mag  |band
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:13:13.152Z|353.56854  | +8.40019  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|213 |    |2008-10-06T21:14:01.536Z|352.91379  | +7.94947  |   CMC14|16.2 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:14:08.794Z|352.11871  | +7.36653  |     UNK|16.4 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:15:12.384Z|353.58217  | +8.40578  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T21:15:27.936Z|352.67908  | +7.78794  |   UCAC2|16   |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:17:11.616Z|353.59575  | +8.41128  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:17:54.470Z|352.13896  | +7.36289  |     UNK|16.2 |   R
2008 TC3   | K08T03C| CCD|084 |  01|2008-10-06T21:19:06.096Z|352.14721  | +7.36131  |     UNK|16.4 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:20:38.976Z|353.61979  | +8.42114  |  USNOA2|16.1 |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:22:10.560Z|353.63046  | +8.42544  |   CMC14|16.1 |   C
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T21:22:26.112Z|352.71379  | +7.79119  |   UCAC2|16.4 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:24:13.248Z|353.64483  | +8.43142  |   CMC14|16   |   C
2008 TC3   | K08T03C| CCD|235 |    |2008-10-06T21:24:31.392Z|352.59458  | +7.80433  |   UCAC2|15.9 |   R
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:26:00.384Z|353.65717  | +8.43653  |   CMC14|16.8 |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:26:13.344Z|353.65887  | +8.43719  |   CMC14|16.1 |   C
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:27:37.152Z|353.66883  | +8.44128  |   CMC14|15.9 |   C
2008 TC3   | K08T03C| CCD|143 |    |2008-10-06T21:27:46.656Z|352.74117  | +7.79369  |   UCAC2|16.4 |   R
2008 TC3   | K08T03C| CCD|J75 |    |2008-10-06T21:27:46.656Z|353.18654  | +8.09614  |  USNOB1|16.3 |   V
2008 TC3   | K08T03C| CCD|J47 |    |2008-10-06T21:29:10.464Z|353.67987  | +8.44592  |   CMC14|16.2 |   C
