# version=2017
 permID|provID     |  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|rmsCorr|  astCat|mag  |rmsMag|band| photCat|logSNR| exp|rmsFit|remarks                                             
  84100|           | AZ70432| CCD|704 |       |    |          |          |          |    |2006-08-29T03:50:34.368Z|299.47792  |-17.55164  |     |      |       |  USNOA2|19   |      |   V|        |      |    |      |                                                    
  84100|           | AZ70432| CCD|704 |       |    |          |          |          |    |2006-08-29T04:22:52.320Z|299.47621  |-17.55333  |     |      |       |  USNOA2|19.3 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2007-12-04T08:05:41.856Z|105.24021  |+15.13533  |     |      |       |  USNOA2|19.4 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2007-12-04T08:24:40.608Z|105.23846  |+15.13572  |     |      |       |  USNOA2|19.4 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2007-12-04T08:43:09.120Z|105.23621  |+15.13581  |     |      |       |  USNOA2|19.3 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2007-12-04T09:01:42.816Z|105.234    |+15.13589  |     |      |       |  USNOA2|19.8 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2008-02-02T05:24:12.096Z| 93.03125  |+17.38722  |     |      |       |  USNOA2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2008-02-02T05:41:56.544Z| 93.02996  |+17.38778  |     |      |       |  USNOA2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2008-02-02T05:59:55.680Z| 93.02846  |+17.38831  |     |      |       |  USNOA2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|704 |       |    |          |          |          |    |2008-02-02T06:17:40.128Z| 93.02725  |+17.38892  |     |      |       |  USNOA2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           | 9D12EE8| CCD|703 |       |    |          |          |          |    |2009-02-19T09:22:22.656Z|180.54404  | +2.57803  |     |      |       |   UCAC2|20.7 |      |   V|        |      |    |      |                                                    
  84100|           | 9D12EE8| CCD|703 |       |    |          |          |          |    |2009-02-19T09:34:11.136Z|180.54267  | +2.57867  |     |      |       |   UCAC2|20.3 |      |   V|        |      |    |      |                                                    
  84100|           | 9D12EE8| CCD|703 |       |    |          |          |          |    |2009-02-19T09:45:58.752Z|180.54192  | +2.57942  |     |      |       |   UCAC2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           | 9D12EE8| CCD|703 |       |    |          |          |          |    |2009-02-19T09:57:41.184Z|180.54058  | +2.57978  |     |      |       |   UCAC2|20.2 |      |   V|        |      |    |      |                                                    
  84100|           | 9FAE636| CCD|G96 |       |    |          |          |          |    |2009-03-16T09:23:12.768Z|176.11962  | +5.15617  |     |      |       |   UCAC2|19.5 |      |   V|        |      |    |      |                                                    
  84100|           | 9FAE636| CCD|G96 |       |    |          |          |          |    |2009-03-16T09:36:00.000Z|176.11783  | +5.15711  |     |      |       |   UCAC2|19.6 |      |   V|        |      |    |      |                                                    
  84100|           | 9FAE636| CCD|G96 |       |    |          |          |          |    |2009-03-16T09:48:43.776Z|176.11604  | +5.158    |     |      |       |   UCAC2|19.5 |      |   V|        |      |    |      |                                                    
  84100|           | 9FAE636| CCD|G96 |       |    |          |          |          |    |2009-03-16T10:01:41.376Z|176.11425  | +5.159    |     |      |       |   UCAC2|19.5 |      |   V|        |      |    |      |                                                    
  84100|           |   84100| CCD|D29 |       |    |          |          |          |    |2009-03-16T13:49:23.808Z|176.08442  | +5.17578  |     |      |       |   UCAC2|19.5 |      |   R|        |      |    |      |                                                    
  84100|           |   84100| CCD|D29 |       |    |          |          |          |    |2009-03-16T14:10:29.568Z|176.08158  | +5.17742  |     |      |       |   UCAC2|20.5 |      |   R|        |      |    |      |                                                    
  84100|           |   84100| CCD|D29 |       |    |          |          |          |    |2009-03-16T14:40:55.200Z|176.07717  | +5.17964  |     |      |       |   UCAC2|20.4 |      |   R|        |      |    |      |                                                    
  84100|           |   84100| CCD|D29 |       |    |          |          |          |    |2009-03-16T15:07:12.000Z|176.07342  | +5.18158  |     |      |       |   UCAC2|20.2 |      |   R|        |      |    |      |                                                    
  84100|           | 9F2AFB8| CCD|703 |       |    |          |          |          |    |2009-03-28T05:23:42.720Z|173.84938  | +6.35144  |     |      |       |   UCAC2|19.5 |      |   V|        |      |    |      |                                                    
  84100|           | 9F2AFB8| CCD|703 |       |    |          |          |          |    |2009-03-28T05:30:30.528Z|173.8485   | +6.35172  |     |      |       |   UCAC2|20   |      |   V|        |      |    |      |                                                    
  84100|           | 9F2AFB8| CCD|703 |       |    |          |          |          |    |2009-03-28T05:37:32.160Z|173.84729  | +6.35217  |     |      |       |   UCAC2|19.2 |      |   V|        |      |    |      |                                                    
