# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1       |pos2       |pos3       |prog|obsTime                 | ra        |dec        |rmsRA |rmsDec|rmsCorr|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                            
     2P|        | UNK|691 |       |    |           |           |           |    |1986-08-31T07:30:40.608Z|359.36262  | +5.98353  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-08-31T07:42:29.088Z|359.36046  | +5.98294  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-01T08:55:01.056Z|359.09471  | +5.90656  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-01T09:05:36.096Z|359.09287  | +5.90628  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-02T07:34:48.576Z|358.85292  | +5.83606  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-02T08:02:55.104Z|358.84775  | +5.83458  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-02T08:10:33.888Z|358.8465   | +5.83411  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-25T07:48:49.248Z|352.20125  | +3.59942  |      |      |       |     UNK|19.2  |      |   B|        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-25T08:05:43.584Z|352.19762  | +3.59822  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-26T06:05:48.192Z|351.92125  | +3.49514  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-26T06:33:08.064Z|351.91525  | +3.49317  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|691 |       |    |           |           |           |    |1986-09-26T06:47:02.688Z|351.91221  | +3.492    |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1987-08-13T08:03:18.432Z|180.11538  |-10.28533  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|474 |       |    |           |           |           |    |1987-08-13T08:17:00.096Z|180.13467  |-10.29567  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1987-08-15T11:53:00.096Z|184.35083  |-12.50758  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1987-08-17T11:46:00.192Z|188.26546  |-14.46433  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
     2P|        | UNK|323 |       |    |           |           |           |    |1987-08-18T11:10:00.192Z|190.17517  |-15.38244  |      |      |       |     UNK|      |      |    |        |      |      |    |      |     |                                                   
