# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA   |rmsDec  |rmsCorr|  astCat|mag  |rmsMag  |band| photCat|photAp|logSNR| exp|rmsFit|notes
      4|   00004| UNK|089 |       |    |          |          |          |    |1972-11-03T23:49:48.115Z| 74.756121 |+15.441164 |        |        |       |  GSCACT|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-04T01:45:40.896Z| 74.74208  |+15.43972  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-04T01:47:10.752Z| 74.74208  |+15.43972  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-04T01:48:40.608Z| 74.74162  |+15.43961  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-07T22:35:43.008Z| 74.04592  |+15.38539  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-07T22:38:42.720Z| 74.04542  |+15.38536  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-09T20:00:15.264Z| 73.6705   |+15.36017  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-09T20:08:13.920Z| 73.66942  |+15.36017  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-09T20:16:12.576Z| 73.66808  |+15.36003  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-14T00:30:48.960Z| 72.76283  |+15.30881  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-14T00:35:47.904Z| 72.76221  |+15.30886  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-14T00:40:47.712Z| 72.76138  |+15.30886  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-14T00:45:46.656Z| 72.7605   |+15.30878  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|006 |       |    |          |          |          |    |1972-11-14T20:41:42.720Z| 72.57017  |+15.30025  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-15T03:26:01.248Z| 72.50338  |+15.29686  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-15T03:27:31.104Z| 72.50317  |+15.29661  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-15T03:29:00.960Z| 72.50292  |+15.29661  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-16T00:25:56.928Z| 72.2985   |+15.28672  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-16T00:30:55.872Z| 72.29767  |+15.28672  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-16T00:35:54.816Z| 72.29679  |+15.28675  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-16T00:40:54.624Z| 72.29592  |+15.28719  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-17T03:23:38.688Z| 72.02788  |+15.27633  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-17T03:25:08.544Z| 72.02775  |+15.27603  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|020 |       |    |          |          |          |    |1972-11-17T03:26:38.400Z| 72.02763  |+15.276    |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-17T22:21:47.520Z| 71.83612  |+15.26836  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|        | UNK|073 |       |    |          |          |          |    |1972-11-17T22:27:46.944Z| 71.835    |+15.26819  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
      4|   00004| UNK|012 |       |    |          |          |          |    |1972-11-18T00:51:59.904Z| 71.81038  |+15.26731  |        |        |       |     UNK|     |        |    |        |      |      |    |      |     
