# version=2017
 permID|  trkSub|mode|stn |sys    | ctr|pos1      |pos2      |pos3      |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag   |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes|remarks                                                                 
    46P|        | CCD|711 |       |    |          |          |          |    |1996-09-22T04:46:18.912Z|315.27392  |-33.91317  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-02T01:49:22.080Z|313.90333  |-33.64731  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-02T04:31:53.184Z|313.89225  |-33.64186  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-03T01:46:00.768Z|313.81858  |-33.60008  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-03T04:03:27.648Z|313.81017  |-33.59508  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-03T04:33:34.272Z|313.80838  |-33.59397  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|809 |       |    |          |          |          |    |1996-10-04T02:36:55.008Z|313.74096  |-33.54719  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-10-04T11:18:15.264Z|313.71721  |-33.52925  |     |      |     UNK|18.2  |      |   R|        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-10-04T11:38:44.736Z|313.716    |-33.5285   |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|360 |       |    |          |          |          |    |1996-10-04T11:52:45.408Z|313.71525  |-33.52775  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-10-11T03:46:35.904Z|313.50787  |-33.09406  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-10-11T04:05:34.656Z|313.50808  |-33.09306  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-10-12T03:31:24.384Z|313.51608  |-33.01792  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
    46P|        | CCD|711 |       |    |          |          |          |    |1996-10-12T03:50:45.600Z|313.51646  |-33.01664  |     |      |     UNK|      |      |    |        |      |      |    |      |     |                                                                        
