# version=2017
 permID|provID     |  trkSub|mode|stn |prog|obsTime                 | ra        |dec        |rmsRA|rmsDec|  astCat|mag  |rmsMag|band| photCat|photAp|logSNR| exp|rmsFit|notes
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-15T02:51:50.112Z| 33.29583  |-24.06689  |     |      |     GSC|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-15T02:54:54.144Z| 33.30187  |-24.06456  |     |      |     GSC|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-15T02:58:01.632Z| 33.30792  |-24.06211  |     |      |     GSC|15   |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-15T03:01:30.720Z| 33.31467  |-24.05936  |     |      |     GSC|15.3 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-15T09:18:43.200Z| 34.139    |-23.79703  |     |      |     UNK|15.1 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-15T09:19:40.224Z| 34.14092  |-23.79622  |     |      |     UNK|15   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-15T09:20:38.112Z| 34.14275  |-23.79536  |     |      |     UNK|15   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-16T01:23:25.152Z| 36.487    |-22.83508  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-16T01:25:34.752Z| 36.49212  |-22.83283  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-16T01:26:31.776Z| 36.49433  |-22.83183  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-16T01:27:20.160Z| 36.49612  |-22.83086  |     |      | USNOSA2|13.9 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|595 |    |1999-09-16T03:11:41.568Z| 36.743    |-22.71239  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|595 |    |1999-09-16T03:13:54.624Z| 36.74821  |-22.70978  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|595 |    |1999-09-16T03:16:12.864Z| 36.75379  |-22.70706  |     |      |     UNK|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|595 |    |1999-09-16T03:19:42.816Z| 36.76221  |-22.70297  |     |      |     UNK|14.3 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-16T08:54:27.360Z| 37.73033  |-22.31061  |     |      |     UNK|13.9 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-16T08:55:09.696Z| 37.73212  |-22.30983  |     |      |     UNK|13.9 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|848 |    |1999-09-16T08:55:52.896Z| 37.73392  |-22.309    |     |      |     UNK|14   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-16T13:22:09.120Z| 38.51462  |-21.88183  |     |      |     GSC|14.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-16T13:23:27.744Z| 38.51792  |-21.88042  |     |      |     GSC|14.7 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-16T13:24:41.184Z| 38.52129  |-21.87883  |     |      |     GSC|14.8 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T18:30:25.632Z| 44.16829  |-19.20092  |     |      |     GSC|15   |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T19:00:17.568Z| 44.26667  |-19.14647  |     |      |     GSC|15.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T19:03:49.248Z| 44.27817  |-19.14017  |     |      |     GSC|14.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T19:27:51.264Z| 44.35742  |-19.09583  |     |      |     GSC|15.3 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T19:34:12.288Z| 44.37821  |-19.08411  |     |      |     GSC|14.8 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|322 |    |1999-09-17T20:00:55.008Z| 44.46675  |-19.034    |     |      |     GSC|14.4 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-18T15:23:50.784Z| 49.25437  |-16.57175  |     |      |     GSC|14.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-18T15:24:55.584Z| 49.25883  |-16.56922  |     |      |     GSC|14.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-18T15:25:49.152Z| 49.26233  |-16.56717  |     |      |     GSC|14.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|428 |    |1999-09-18T15:26:46.176Z| 49.26629  |-16.56489  |     |      |     GSC|14.6 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:09:56.736Z| 52.30658  |-14.91536  |     |      |     GSC|14.8 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:12:17.568Z| 52.31767  |-14.90919  |     |      |     GSC|14.7 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:18:54.144Z| 52.34813  |-14.89194  |     |      |     GSC|15   |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:23:35.808Z| 52.36992  |-14.87958  |     |      |     GSC|15.3 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:27:47.232Z| 52.38954  |-14.86817  |     |      |     GSC|14.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:29:19.680Z| 52.39654  |-14.86422  |     |      |     GSC|14.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:35:21.696Z| 52.42458  |-14.84825  |     |      |     GSC|15.2 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:37:40.800Z| 52.43521  |-14.84217  |     |      |     GSC|14.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:40:45.696Z| 52.44933  |-14.83406  |     |      |     GSC|14.9 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-19T02:43:04.800Z| 52.45979  |-14.82786  |     |      |     GSC|15.2 |      |   V|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|327 |    |1999-09-19T21:10:21.216Z| 58.18288  |-11.52289  |     |      |     UNK|14.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|327 |    |1999-09-19T21:13:35.616Z| 58.19992  |-11.51158  |     |      |     UNK|14.5 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|327 |    |1999-09-19T21:17:23.712Z| 58.21975  |-11.49844  |     |      |     UNK|14.4 |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|121 |  01|1999-09-20T00:12:23.904Z| 59.29567  |-10.89367  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|121 |  01|1999-09-20T00:13:53.760Z| 59.30392  |-10.88833  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|121 |  01|1999-09-20T00:15:23.616Z| 59.31217  |-10.88303  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|121 |  01|1999-09-20T00:18:24.192Z| 59.32863  |-10.87233  |     |      |     GSC|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:04:31.584Z| 59.61704  |-10.70361  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:11:52.224Z| 59.65821  |-10.6775   |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:13:34.176Z| 59.66721  |-10.67133  |     |      | USNOSA2|14   |      |   R|        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:14:30.336Z| 59.67217  |-10.66811  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:15:25.632Z| 59.67754  |-10.66461  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  |        | CCD|046 |    |1999-09-20T01:16:24.384Z| 59.68325  |-10.66081  |     |      | USNOSA2|     |      |    |        |      |      |    |      |     
 101955|1999 RQ36  | J99R36Q| CCD|859 |    |1999-09-20T02:45:33.408Z| 60.28867  |-10.18231  |     |      |     GSC|15.3 |      |   V|        |      |      |    |      |     
